"","manganese","Bgal","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs"
"17","0.25",405,0.979431791315864,0.979341579874267,0.0396980282625336,10857.068393722,2.70002183089216e-194,1,416.732875003644,-827.465750007288,-817.151512080518,0.359312826128705,228,230
"18","0.25",714,0.969393542093754,0.969266544343106,0.0449861745292781,7633.15521058443,1.809879546682e-184,1,409.842291169364,-813.684582338729,-803.205398008707,0.48772517160566,241,243
"19","0.5",0,0.980450575434694,0.98037078186504,0.0388819464310184,12287.3381863014,2.37180143265093e-211,1,452.590886684575,-899.18177336915,-888.653608359266,0.370392410774823,245,247
"20","0.5",0.2,0.976023311693788,0.975919516506315,0.0410195396336357,9403.3580501961,3.89529632848414e-189,1,414.525310932108,-823.050621864215,-812.697506503518,0.3886812079355,231,233
"21","0.5",5.9,0.968313998984634,0.968169314048491,0.0457159982629712,6692.56955697245,3.8294255467125e-166,1,369.271977113129,-732.543954226258,-722.349466121705,0.457699596882417,219,221
"22","0.5",95,0.970380364067198,0.970247540587679,0.0470453470437485,7305.78936479575,2.06494840719752e-172,1,369.488046121085,-732.976092242171,-722.727791035558,0.493558023298082,223,225
"23","0.5",137,0.98369000002444,0.983620889855052,0.034973209363081,14233.6505428346,6.13948512102015e-213,1,461.352018319205,-916.70403663841,-906.287224617396,0.28865758806432,236,238
"24","0.5",177,0.98808961154188,0.988043447245531,0.0314284063611331,21403.7619909882,3.10982227480822e-250,1,531.691062158601,-1057.3821243172,-1046.70007942416,0.254838139411332,258,260
"25","0.5",307,0.987046550479341,0.986994107363873,0.0314300617924899,18821.2798127304,3.86867087378851e-235,1,509.22596800439,-1012.45193600878,-1001.89957731939,0.243998649717094,247,249
"26","0.5",405,0.980514532866931,0.980423902787243,0.0416899516398655,10818.8642913582,7.64473436620836e-186,1,382.611422019045,-759.22284403809,-749.083151977469,0.37368119456288,215,217
"27","0.5",714,0.985874318119477,0.985814716086226,0.0350914965612779,16540.9511109331,3.1137762677157e-221,1,462.479247570517,-918.958495141034,-908.529104485239,0.291844912025713,237,239
"28","0.75",0,0.960270345748664,0.960097608121484,0.0574068257724747,5559.12664441995,4.2416053372662e-163,1,334.771955079226,-663.543910158452,-653.203698043453,0.757975038412392,230,232
"29","0.75",0.2,0.950941075100793,0.950716034160889,0.0617692400985267,4225.63590208894,1.07473177586652e-144,1,301.395045608626,-596.790091217252,-586.609208578195,0.831765706872178,218,220
"30","0.75",5.9,0.950661434003715,0.950425364309952,0.0602522808614769,4027.03718064555,1.54959912383061e-138,1,294.353072492195,-582.70614498439,-572.650570583962,0.758740505943153,209,211
"31","0.75",95,0.95128720130618,0.951057423953851,0.0626972138243472,4140.03900585774,4.3567935033049e-141,1,290.011645665623,-574.023291331246,-563.925363286181,0.833359411723214,212,214
"32","0.75",137,0.955422020528518,0.955220310214167,0.0635491437621852,4736.6046877894,2.92999026400312e-151,1,299.156229734068,-592.312459468135,-582.090944153755,0.892507101712421,221,223
"33","0.75",177,0.957742354135979,0.957563296314521,0.0612973635651988,5348.78815311702,3.81192625508794e-164,1,327.797244540175,-649.594489080351,-639.177677059336,0.886738560090422,236,238
"34","0.75",307,0.962668108078319,0.962504371710241,0.0586220918069803,5879.37865839539,8.86757632354306e-165,1,327.076552393857,-648.153104787714,-637.838866860944,0.783533319704334,228,230
"35","0.75",405,0.952539374058229,0.952297228007506,0.0666147254450244,3933.73904390707,1.11272190569273e-131,1,256.403520573671,-506.807041147342,-496.942240055259,0.869754242638733,196,198
"36","0.75",714,0.964808429255841,0.964650619521562,0.0549843141392506,6113.74471711416,4.60171256947763e-164,1,334.402450663916,-662.804901327831,-652.556600121218,0.674190280704126,223,225
"37","1",0,0.932957826915999,0.932653089765617,0.072960563790362,3061.51654219725,4.40000183231522e-131,1,267.159815071325,-528.31963014265,-518.111597997033,1.17111365109365,220,222
"38","1",0.2,0.935980132877913,0.935675276367808,0.0719124017603405,3070.23173805605,2.61571701963895e-127,1,258.238764913227,-510.477529826453,-500.407771002437,1.08599264065753,210,212
"39","1",5.9,0.924836025819574,0.924458317406607,0.0767955353685952,2448.54494649675,8.54532793105358e-114,1,231.686726722672,-457.373453445344,-447.463538721166,1.17361329625728,199,201
"40","1",95,0.925419505681768,0.925022800924757,0.0780266678423112,2332.76634404986,6.42250549361027e-108,1,216.040855986645,-426.081711973289,-416.340639756808,1.14457424817998,188,190
"41","1",137,0.904882927143126,0.904418941421873,0.0921881337048163,1950.23873730293,1.09272510098005e-106,1,200.756824574568,-395.513649149136,-385.51549276934,1.7422236591753,205,207
"42","1",177,0.949755930880608,0.949530621153615,0.0655629927670732,4215.33479072122,8.11611858971244e-147,1,294.810673282125,-583.62134656425,-573.373045357637,0.95856684258829,223,225
"43","1",307,0.944780595036988,0.944511232085949,0.0718277370466987,3507.4630397107,6.6396782402673e-131,1,252.415891399319,-498.831782798637,-488.833626418841,1.05764088089619,205,207
"44","1",405,0.91918738737117,0.918770827512258,0.0833386498812642,2206.61537041297,6.32499562633491e-108,1,209.922383744852,-413.844767489703,-404.010423512012,1.3473941294222,194,196
"45","1",714,0.953242789510724,0.953034051963897,0.0651698724364927,4566.70495557845,5.75013243948893e-151,1,297.47564965801,-588.95129931602,-578.689694318203,0.951353149239077,224,226
"46","1.5",0,0.878781961414527,0.878163502033989,0.103752858411075,1420.92106461364,9.38871636329919e-92,1,168.672481921957,-331.344963843913,-321.48016275183,2.10987250317985,196,198
"47","1.5",0.2,0.858840427656839,0.858060540516821,0.109529393297247,1101.23681182588,7.14398784227845e-79,1,146.055660134697,-286.111320269394,-276.48286181087,2.17140052728739,181,183
"48","1.5",5.9,0.774613966225363,0.773440080632787,0.134018833900672,659.871772108029,4.96048842295216e-64,1,115.627452758303,-225.254905516605,-215.451331039415,3.44852118529842,192,194
"49","1.5",95,0.848638289460513,0.84778313855351,0.116718568916987,992.384247635235,1.75374087683599e-74,1,131.505775897548,-257.011551795095,-247.449394377573,2.41131070641519,177,179
"50","1.5",137,0.808546371020582,0.807406766086181,0.134297454924981,709.497077989892,3.36919747992973e-62,1,101.095059726676,-196.190119453351,-186.7827241422,3.030015475087,168,170
"51","1.5",177,0.875912549912334,0.875234476414587,0.107906785705986,1291.7663834716,7.49304108117005e-85,1,150.402007212054,-294.804014424108,-285.142946948873,2.13082901545575,183,185
"52","1.5",307,0.865483279293062,0.864687322365802,0.115388864390019,1087.34938996311,1.58462317473915e-75,1,127.632914506414,-249.265829012828,-239.84083834332,2.25016571426189,169,171
"53","1.5",405,0.781687945386583,0.780348607628218,0.152657812410692,583.637652641936,9.61092829204435e-56,1,77.0080551685645,-148.016110337129,-138.698273915427,3.79861845347291,163,165
"54","1.5",714,0.849537428707351,0.848728490152014,0.115687906919566,1050.1878333066,2.00654538428035e-78,1,139.734437129787,-273.468874259574,-263.759548371084,2.48936667618202,186,188
"55","2",0,0.864644248042103,0.863912595328817,0.110821311448858,1181.76866201848,2.88789893517261e-82,1,147.03324627503,-288.06649255006,-278.373166699496,2.27205216818028,185,187
"56","2",0.2,0.809049909090727,0.807958765714103,0.131844440689697,741.46984385647,8.04867389709967e-65,1,108.479030245447,-210.958060490893,-201.429611293172,3.04201739463631,175,177
"57","2",5.9,0.811163731128429,0.810039705718479,0.125333663459641,721.659603019681,1.05844104910007e-62,1,112.838262602345,-219.676525204691,-210.26912989354,2.63903256896406,168,170
"58","2",95,0.848859789653504,0.847991167754961,0.121544710029682,977.24889399781,2.64391293635967e-73,1,122.187809007389,-238.375618014778,-228.864166029664,2.5705222772987,174,176
"59","2",137,0.814877584601982,0.813720569505744,0.139191397844544,704.292958019134,1.736876815422e-60,1,90.5868452145171,-175.173690429034,-165.910901423337,3.0998792374269,160,162
"60","2",177,0.814315156354821,0.813271983075916,0.1417568521035,780.613511505207,5.5116291877644e-67,1,97.252220750846,-188.504441501692,-178.925570949021,3.57691091105625,178,180
"61","2",307,0.812757275797465,0.811594277510493,0.145153053823074,698.846494360184,1.86577465393318e-60,1,84.3037522998779,-162.607504599756,-153.326253997335,3.39217485450043,161,163
"62","2",405,0.806121182865239,0.804811190857572,0.147819651015321,615.363435919502,1.37856917870351e-54,1,74.9302949198256,-143.860589839651,-134.828683957362,3.23389608549111,148,150
"63","2",714,0.81738884937074,0.816320947905071,0.139713526334422,765.415982325015,4.88221845370539e-65,1,96.0213454746969,-186.042690949394,-176.5828161659,3.33789767437666,171,173
