"","manganese","Bgal","term","estimate","std.error","statistic","p.value"
"117","2",137,"(Intercept)",-0.103533903618894,0.133075537241139,-0.778008533839587,0.43771293223363
"118","2",137,"lacY",-390.925589967371,14.7304979242066,-26.5385183840231,1.73687681542195e-60
"119","2",177,"(Intercept)",-0.248158130214804,0.121161513899557,-2.0481597021025,0.0420129654457031
"120","2",177,"lacY",-360.105790990811,12.8887877954343,-27.9394615464437,5.51162918776393e-67
"121","2",307,"(Intercept)",0.0923569703186329,0.140937624094328,0.655303868730039,0.513207364092938
"122","2",307,"lacY",-405.644825291602,15.3445813755977,-26.4357049151367,1.86577465393366e-60
"123","2",405,"(Intercept)",0.184829684739091,0.152921749226648,1.2086553134123,0.228722802360685
"124","2",405,"lacY",-426.648977257226,17.199066082979,-24.8065200284018,1.37856917870383e-54
"125","2",714,"(Intercept)",-0.191531297201803,0.124267456454339,-1.54128283193903,0.125096462688469
"126","2",714,"lacY",-375.014280370578,13.5549850405904,-27.6661522862326,4.88221845370608e-65
